,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,HipRoll,HipPitch,KneePitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,Speed,delay,LeftHand,RightHand,X-movement,Y-movement,Angle,sentence,rotate
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,4.0,0.0,0.0,,,,"Now we will stretch, behind or head and down to our back. Try to follow me!",0
1,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-98.2,-0.5,83.9,89.5,0.0,0.1,6.0,0.0,0.0,,,,,0
2,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-99.6,-0.5,54.1,89.5,0.0,0.1,5.0,0.0,0.0,,,,,0
3,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,119.5,-8.5,71.4,28.9,0.0,0.1,6.0,0.0,0.0,,,,,0
4,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,119.5,-8.5,10.0,19.0,0.0,0.1,2.0,0.0,0.0,,,,,0
5,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,119.5,-8.5,10.0,76.8,0.0,0.1,4.0,0.0,0.0,,,,,0
6,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,119.5,-8.5,10.0,18.0,0.0,0.1,3.0,0.0,0.0,,,,,0
7,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,0.5,0.0,0.0,,,,,0
8,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,4.0,0.0,0.0,,,,Now we will do the other hand,1
9,0.0,-11.4,-96.7,0.5,-83.9,-89.5,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,6.0,0.0,0.0,,,,,0
10,0.0,-11.4,-96.7,0.5,-54.1,-89.5,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,,0
11,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,6.0,0.0,0.0,,,,,1
12,0.0,-11.4,119.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0.0,0.0,,,,,0
13,0.0,-11.4,119.5,8.6,-19.9,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0.0,0.0,,,,,0
14,0.0,-11.4,119.5,4.7,-19.9,-75.7,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,,0
15,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,,1
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,Let us stretch!,0
1,0.0,-11.4,90.5,0.5,-71.8,-28.9,0.0,18.6,-2.8,-0.6,-81.1,-14.3,71.1,0.5,0.0,0.1,10.0,0.0,0.0,,,,Right arm to the ceiling!,0
2,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0.0,0.0,,,,Relax!,1
3,0.0,-11.4,-82.5,13.2,-71.8,-0.5,0.0,-18.3,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,10.0,0.0,0.0,,,,Then the other arm!,0
4,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,Relax!,0
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0.0,0.0,,,,"Since we often need to lift things, we will work out out arms.",1
1,0.0,-11.4,90.5,8.6,-71.8,-28.9,-74.6,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,84.6,0.1,2.0,0.0,0.0,,,,"Hold your hands like this, and follow me.",0
2,0.0,-11.4,90.5,2.1,-71.1,-89.5,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,89.5,84.6,0.1,5.0,0.0,0.0,,,,,0
3,0.0,-11.4,90.5,2.1,-71.1,-20.6,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,19.6,84.6,0.1,2.0,0.0,0.0,,,,,0
4,0.0,-11.4,90.5,2.1,-71.1,-89.5,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,89.5,84.6,0.1,5.0,0.0,0.0,,,,,0
5,0.0,-11.4,90.5,2.1,-71.1,-20.1,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,19.0,84.6,0.1,2.0,0.0,0.0,,,,,0
6,0.0,-11.4,90.5,2.1,-71.1,-89.5,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,89.5,84.6,0.1,5.0,0.0,0.0,,,,,0
7,0.0,-11.4,90.5,2.1,-71.1,-20.1,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,20.6,84.6,0.1,2.0,0.0,0.0,,,,,0
8,0.0,-11.4,90.5,2.1,-71.1,-89.5,-74.6,0.0,-2.3,-0.6,90.2,-0.5,71.4,89.5,84.6,0.1,5.0,0.0,0.0,,,,,0
9,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0.0,0.0,,,,And relax!,1
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,"If you can, lean forward, and follow me!",0
1,0.0,-11.4,119.5,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,119.5,-8.5,71.4,0.5,0.0,0.1,3.0,0.0,0.0,,,,,0
2,0.0,-11.4,61.2,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,61.2,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
3,0.0,-11.4,119.5,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,119.5,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
4,0.0,-11.4,61.2,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,61.2,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
5,0.0,-11.4,119.5,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,119.5,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
6,0.0,-11.4,61.2,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,61.2,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
7,0.0,-11.4,119.5,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,119.5,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
8,0.0,-11.4,61.2,8.6,-71.8,-0.5,0.0,0.0,-43.9,-0.6,61.2,-8.5,71.4,0.5,0.0,0.1,2.0,0.0,0.0,,,,,0
9,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,4.0,0.0,0.0,,,,,1
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,, Now we will shake loose! You don't need to follow me. Just do something!,0
1,0.0,-11.4,90.5,10.0,-93.9,-74.1,0.0,0.0,-2.3,-0.6,90.2,-8.5,86.8,74.7,0.0,0.1,2.0,0.0,0.0,,,,,0
2,0.0,-11.4,90.5,8.6,-71.1,-67.8,-33.6,0.0,-2.3,-0.6,90.2,-8.5,75.4,63.0,24.9,0.1,0.4,0.0,0.0,,,,,0
3,0.0,-11.4,90.5,8.6,-71.1,-81.6,46.0,0.0,-2.3,-0.6,90.2,-8.5,75.4,68.8,-46.0,0.1,0.4,0.0,0.0,,,,,0
4,0.0,-11.4,90.5,8.6,-71.1,-63.0,93.3,0.0,-2.3,-0.6,90.2,-8.5,75.4,89.5,54.7,0.1,0.4,0.0,0.0,,,,,0
5,0.0,-11.4,90.5,8.6,-71.1,-39.2,-68.4,0.0,-2.3,-0.6,90.2,-8.5,75.4,35.5,-68.4,0.1,0.4,0.0,0.0,,,,,0
6,0.0,-11.4,90.5,8.6,-71.1,-87.9,17.4,0.0,-2.3,-0.6,90.2,-8.5,75.4,0.5,31.1,0.1,0.4,0.0,0.0,,,,,0
7,0.0,-11.4,90.5,8.6,-71.1,-68.8,68.4,0.0,-2.3,-0.6,90.2,-8.5,75.4,80.5,100.8,0.1,0.4,0.0,0.0,,,,,0
8,0.0,-11.4,90.5,8.6,-71.1,-80.0,41.1,0.0,-2.3,-0.6,90.2,-8.5,75.4,43.4,54.7,0.1,0.4,0.0,0.0,,,,,0
9,0.0,-11.4,96.7,8.6,-71.1,-61.4,-29.9,0.0,-2.3,-0.6,98.2,-12.7,76.8,62.0,-41.1,0.1,0.4,0.0,0.0,,,,,0
10,0.0,-11.4,96.7,8.6,-71.1,-82.1,43.5,0.0,-2.3,-0.6,98.2,-12.7,76.8,75.7,49.8,0.1,0.4,0.0,0.0,,,,,0
11,0.0,-11.4,54.1,8.6,-71.1,-69.9,10.0,0.0,-2.3,-0.6,98.2,-12.7,76.8,52.9,49.8,0.1,0.4,0.0,0.0,,,,,0
12,0.0,-11.4,11.4,8.6,-71.1,-61.4,-57.2,0.0,-2.3,-0.6,27.0,-12.7,76.8,69.4,11.2,0.1,0.4,0.0,0.0,,,,,0
13,0.0,-11.4,11.4,8.6,-71.1,-61.4,-57.2,0.0,-2.3,-0.6,66.9,-12.7,76.8,33.3,-53.5,0.1,0.4,0.0,0.0,,,,,0
14,0.0,-11.4,48.4,8.6,-71.1,-61.4,-1.2,0.0,-2.3,-0.6,66.9,-12.7,76.8,33.3,12.4,0.1,0.4,0.0,0.0,,,,,0
15,0.0,-11.4,62.6,8.6,-71.1,-22.2,58.5,0.0,-2.3,-0.6,66.9,-12.7,76.8,54.0,41.1,0.1,0.4,0.0,0.0,,,,,0
16,0.0,-11.4,62.6,8.6,-71.1,-49.8,-58.5,0.0,-2.3,-0.6,66.9,-12.7,76.8,54.0,-1.2,0.1,0.4,0.0,0.0,,,,,0
17,0.0,-11.4,62.6,8.6,-83.9,-77.8,23.6,0.0,-2.3,-0.6,66.9,-12.7,76.8,20.1,56.0,0.1,0.4,0.0,0.0,,,,,0
